[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (933) open OpenCV | GStreamer warning: Cannot query video position: status=0, value=-1, duration=-1
[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (1184) setProperty OpenCV | GStreamer warning: GStreamer: unhandled property
Gtk-Message: 21:22:14.165: Failed to load module "canberra-gtk-module"
vision_progress frame=30 capture_ms=12.498 gpu_ms=10.179 post_ms=0.596 total_ms=31.882 fps_avg=36.105 det=0
vision_progress frame=60 capture_ms=12.419 gpu_ms=10.152 post_ms=0.600 total_ms=31.755 fps_avg=32.825 det=0
vision_progress frame=90 capture_ms=16.346 gpu_ms=10.166 post_ms=0.609 total_ms=35.661 fps_avg=32.963 det=0
vision_progress frame=120 capture_ms=16.254 gpu_ms=10.124 post_ms=0.606 total_ms=35.491 fps_avg=32.893 det=0
vision_progress frame=150 capture_ms=12.377 gpu_ms=10.268 post_ms=0.610 total_ms=31.806 fps_avg=33.070 det=0
vision_progress frame=180 capture_ms=12.445 gpu_ms=10.145 post_ms=0.599 total_ms=31.875 fps_avg=32.938 det=0
vision_progress frame=210 capture_ms=16.310 gpu_ms=10.141 post_ms=0.604 total_ms=35.574 fps_avg=33.001 det=0
vision_progress frame=240 capture_ms=12.470 gpu_ms=10.109 post_ms=0.602 total_ms=31.834 fps_avg=32.969 det=0
vision_progress frame=270 capture_ms=12.787 gpu_ms=10.203 post_ms=0.603 total_ms=32.162 fps_avg=32.931 det=0
vision_progress frame=300 capture_ms=12.441 gpu_ms=10.200 post_ms=0.607 total_ms=31.782 fps_avg=32.828 det=0
vision_progress frame=330 capture_ms=15.997 gpu_ms=10.147 post_ms=0.607 total_ms=35.661 fps_avg=32.992 det=0
vision_progress frame=360 capture_ms=12.288 gpu_ms=10.147 post_ms=0.603 total_ms=32.094 fps_avg=32.995 det=0
vision_progress frame=390 capture_ms=8.534 gpu_ms=10.110 post_ms=0.617 total_ms=27.907 fps_avg=33.131 det=0
vision_progress frame=420 capture_ms=12.512 gpu_ms=10.111 post_ms=0.610 total_ms=31.843 fps_avg=32.808 det=0
vision_progress frame=450 capture_ms=15.736 gpu_ms=10.161 post_ms=0.608 total_ms=35.223 fps_avg=32.819 det=0
vision_progress frame=480 capture_ms=12.214 gpu_ms=10.281 post_ms=0.598 total_ms=31.831 fps_avg=33.157 det=0
vision_progress frame=510 capture_ms=12.497 gpu_ms=10.269 post_ms=0.609 total_ms=32.210 fps_avg=32.844 det=0
vision_progress frame=540 capture_ms=11.185 gpu_ms=10.187 post_ms=1.730 total_ms=31.833 fps_avg=33.197 det=1
vision_progress frame=570 capture_ms=14.482 gpu_ms=10.177 post_ms=1.759 total_ms=35.101 fps_avg=32.824 det=1
vision_progress frame=600 capture_ms=10.529 gpu_ms=10.098 post_ms=1.751 total_ms=31.061 fps_avg=33.207 det=1
vision_progress frame=630 capture_ms=11.411 gpu_ms=10.210 post_ms=1.712 total_ms=32.009 fps_avg=32.794 det=1
vision_progress frame=660 capture_ms=11.067 gpu_ms=10.296 post_ms=0.605 total_ms=30.965 fps_avg=32.980 det=0
vision_progress frame=690 capture_ms=15.949 gpu_ms=10.175 post_ms=0.614 total_ms=35.439 fps_avg=32.895 det=0
vision_progress frame=720 capture_ms=10.794 gpu_ms=10.177 post_ms=2.025 total_ms=31.646 fps_avg=33.104 det=2
vision_progress frame=750 capture_ms=10.949 gpu_ms=10.418 post_ms=2.099 total_ms=32.349 fps_avg=32.914 det=2
vision_progress frame=780 capture_ms=14.607 gpu_ms=10.159 post_ms=2.118 total_ms=35.608 fps_avg=33.003 det=2
vision_progress frame=810 capture_ms=14.564 gpu_ms=10.241 post_ms=2.112 total_ms=35.562 fps_avg=32.819 det=2
vision_progress frame=840 capture_ms=19.077 gpu_ms=10.180 post_ms=1.767 total_ms=39.619 fps_avg=28.642 det=1
